NUMBER,NAME,CONTACT,NUMBER,,FAX NUMBER,E-MAIL
120358,Bobs Burger,,,,,
120359,Bohannan Huston,,(505) 823-1000,,,
120360,Bomb Bomb,,,,,
120400,"Bony Baca Construction, Inc.",Adrian Bonifucio Baca,(505) 246-9007,,,adrianbaca@gmail.com
120420,*Boot Grill,,,,,
120425,Boxing Bear Brewing Co,,,,,
120430,*Brian McCarthy,,,,,
120450,*Broadway Premium Funding,,(800) 837-2511,,(847) 374-3010,
120500,Budget Professional LLC,,(505) 217-6269,,(505) 897-6485,
120550,Buffalo Wild Wings,,,,,
120600,Builder Designs Inc,,,,,
120650,*Builder Homesite Inc,,(512) 371-3800,,,
120700,Builder Partnerships,,(303) 972-7666,,,
120750,"Builders Digital Experience, LLC",Brandon Reinohl --,(512) 651-8827,,,see company address for 1099 info
120775,"Builders FirstSource, Inc.",Greg Romero/Joe Rubilino,(505) 858-3727,,(505) 823-1566,greg.romero@probuild.com
120800,Builders Mechanical,Denise Baker,(505) 797-2170,,(505) 797-8531,dbaker@buildersmechanical.com
120850,Builders Source Appliances,Tiffany Brunacini,(505) 900-3341,,,TIFFANYB@BUILDERSSOURCE.COM
120855,Builders' Trust of New Mexico,,(505) 345-3477,,,
120900,Building Safety Division,,,,,
120950,Bullseye Painting,Anthony,(505) 410-6786,,,bullseyepaintingnm@gmail.com
121000,Burlington Coat Factory,,,,,
130000,C & A Plumbing LLC,,,,,
130025,CBM,,,,,
130030,Cable One,,,,,
130035,Calistoga Balloons,,,,,
130040,Cal Ply-Albuquerque,,,,,
130045,Callrail.com,,,,,
130050,Canon Financial Services,,,,,
130075,*Cardmember Services,,,,,
130080,Carlos Miranda Doors,Carlos Miranda,(505) 440-5604,,,carlosmiranda8415@gmail.com
130090,"Casa di Ferro, Ironwork Inc.",,(505) 319-2002,,,
130100,CB Development LLC,,,,,
130150,CenturyLink,,,,,
130225,Champion Truss Inc,,,,,
130250,*Charlie Gittos,,,,,
130275,Chase Cardmember Service,,,,,
130300,*Chavez Lath & Plaster,,,,,
130325,Chateau Niteclub,,,,,
130350,Chevron,,,,,
130370,Chief Architect Software,,,,,
130375,Chilis,,,,,
130400,Chin Shan Chinese Restaurant,,,,,
130420,Chipotle,,,,,
130425,*Cibo Express Gourmet Mar,,,,,
130430,Cibola Girls Soccer Program,,,,,
130450,Circle K,,,,,
130475,City of Albuquerque,,,,,
130500,City of Rio Rancho Development Svcs Dept,,(505) 891-5004,,,
130525,Classically Clean Design,,,,,
130550,Clear Evaluations LLC,,(281) 907-7888,,,accounting@clearevaluations.com
130575,CliffDweller Productions,Ofc Mgr Cindy Melo,(505) 891-7400,,,
130600,Cloud Buster Balloons,,,,,
130625,CNA Surety,Reynolds & Rodar Ins Grp,(888) 866-2666,,(605) 335-0357,uwservices@cnasurety.com
130650,*Coe Administrative Services,,(505) 994-3000,,,
130675,Comcast,,,,,
130680,Comfort Solutions of New Mexico LLC,,,,,
130690,*Committee to Elect Eric Burton,,,,,
130695,Communications Supply Corporation,,,,,
130700,Community First Bank of Las Vegas,,,,,
130725,Community Sciences Corporation,Mgr Tony C Yanchulis,(505) 897-0000,,(505) 898-5195,communitysciences.com
130750,Concrete Washout Systems,Ira  Lucretia Rodriguez,(505) 892-2550,,(505) 891-3781,
130752,Connection Plumbing,Shane Wright,(480) 980-2412,,(480) 323-2678,swright.connectionplumbing@gmail.co
130755,Consensus Planning Inc,,(505) 764-9801,,,
130775,*Consensus Planning,,,,,
130800,"Consolidated Solar Technologies, LLC",,(505) 792-6359,,,
130805,"*ConspectNM, LLC",,,,,
130825,Construction Seminars,,,,,
130850,Container Store,,,,,
130875,*Contemporary Classic Design,,,,,
130877,Contractors Bonding Service,,,,,
130880,Corner Store,,,,,
130890,Corrales Elementary PTA,,,,,
130900,Cort Business Services Center,,,,,
130925,Costco,,,,,
130935,"County of Bernalillo, Planning & Dev Svc",,(505) 314-0350,,,
130937,Courtyard by Marriot,,,,,
130940,Craigslist,,,,,
130945,"Creative Countertops & More, LLC",Will Keeling,,,,info@creativecountertopsandmore.com
130950,Crystal Springs,,(505) 822-9089,,,
130975,Custom Grading Inc,,,,,
131000,CVS,,,,,
140000,"D & J Plumbing, LLC",Drew J Faulkner,(505) 322-2110,,(505) 312-7960,Drewjfaulkner@gmail.com
140010,D & J Plumbing /Drew Faulkner,Drew Faulkner,(505) 322-2110,,,drewjfaulkner@gmail.com
140050,*Dalton Service Center,,,,,
140075,DataTraq,Jan DeMaggio,(505) 291-8432,,,pdemaggio@comcast.net
140100,Davis Kitchens,Alt Name M K Industries,(505) 292-4800,,,
140150,Dell Computer Corporation,,,,,
140200,Delta Dental of New Mexico,,,,,
140250,Deluxe Design,,,,,
140300,Denis M McCarthy,,,,,
140350,US Department of the Treasury,,,,,
140400,*Desert Cab,,,,,
140410,Desert Greens Golf Course,,,,,
140430,Desert Plastics,,,,,
140450,Detailed Maintenance Inc,Mario Martinez President,(505) 205-3406,,(505) 232-2511,mario@detailedmaintenanceinc.com
140500,*Digital River an ecommerce vendor,,,,,
140530,Dions,,,,,
140550,Discount Tire,,(505) 890-3088,,,
140600,DiscountMugscom,,,,,
140625,DNB Business Delivery,Hector V Valenzuela,(505) 550-4179,,,dnbdelivery@q.com
140650,Don Chalmers,,,,,
140700,Don Mickey Designs Inc,Don Mickey,(505) 256-7031,,,
140750,Dropbox Inc,,(888) 446-8396,,,
140755,"DR Scott, LLC",Robert Prewitt,,,,
140760,Dr Vinyl,Tami Detwieler,(505) 994-2663,,,dvabq@yahoo.com
140780,Duke Contractor Services,Jeremy Lopez,,,,Jeremy.Lopez@truteam.com
140800,Dun  Bradstreet Inc,,,,,
140900,"Dynamic Painting, LLC",Edwin E Sanchez Carrera,(505) 459-2246,,,Dynamic24@q.com
150000,EarthTech,Dennis R Pyle,(505) 991-0677,,,
150025,Earthworks Engineering Group LLC.,David Liebelt,(505) 889-4886,,,wendyeeg@spinn.net
150050,East Mountain High School Foundation,Susan McGuire,,,,
150055,Easton Sales and Rentals LLC.,,,,,
150065,ECI-(Mark Systems INc.),,,,,
150100,EcoSmart Inc,,(310) 945-3335,,,
150110,Edible Arrangements,,,,,
150125,*Edgewater Hotel,,,,,
150130,El Pinto Restaurant,,,,,
150140,Ellis & Associates,,(312) 224-4604,,,john@ellis-and-associates.com
150150,Elkay Sales Inc,Deb Quast,(952) 442-9432,,,deb.quast@elkay.com
150155,El Ranchito de los Ninos Foundation,,(505) 565-4470,,(505) 866-9527,
150200,*Eric Spurlock Custom Homes,,(505) 275-6783,,,
150225,Justin Esquibel & Carmela Montoya,,,,,
150250,Print Design Lab,Ethan Hinckley,(505) 379-3062,,,
150300,Ethridge Tire Center,,(505) 883-7181,,,
150350,"EX Squared Solutions, Inc.",Pr Mgr Allyson Ingerman,(512) 651-8833,,,
150355,"Fabric Building Specialties, Inc.",,(505) 474-6460,,,
150500,K & G Excavating LLC,Kevin Pacheco,(505) 933-1099,,,kgexcavating@aol.com
160000,Facebook Advertising,,,,,
160050,FAPCO LLC,,,,,
160100,*FastMac,Sabrina Vinaja,(408) 850-6232,,(408) 562-3955,
160110,FastSigns,,,,,
160150,FedEx,,,,,
160200,Fidelity National Title,,,,,
160250,First American Title Insurance Company,,,,,
160260,First Insurance Funding Corp,,,,,
160300,*Floorscapes New Mexico,,(505) 857-0438,,(505) 857-0742,
160330,Flying Star,,,,,
160350,FormCove Mfg Co Inc,John Santoniello,(505) 892-0700,,(505) 891-2984,
160355,Four Hills Ranch Investment LLC,,,,,
160370,For The Kids Fund,,,,,
160400,FFB Build Green New Mexico,,,,,
160425,Ferguson Enterprises,,,,,
160450,Fresh and Clean ABQ,,(505) 293-7311,,,
160455,Friends Of Baila Baila !,,,,,
160500,"FTS Business Consultants, Inc.",,,,,
160550,"Fusion 4 Branding, Inc.",,,,,
170000,Garrity Insulation,,,,,
170050,Gabriel Hermen Guzman,Gabriel_Guzman83@yahoo.c,(505) 203-7916,,,
170055,Garcias Tents,,,,,
170060,Gardunos Restaurant,,,,,
170075,"General Inspectors, Inc.",Joseph Lebron,(505) 261-0351,,,
170100,George Medchill,,,,,
170150,Georgia Stelluto,,,,,
170200,Get A Grip Resurfacing LLC,,,,,
170210,*Giada Restaurant,,,,,
170250,Giant,,,,,
170275,Glass Pro,,,,,
170300,*Glen Mondragon,LANB Inspector,,,,
170350,Go Daddy,,,,,
170400,Google Inc (dba google.com),,,,,
170450,*Googlecom,,,,,
170460,*Gordmans,,,,,
170475,Grace Church,Aaron,(505) 821-8800,,,aaron@gracechuchabq.org
170480,Scott or Laura Grady,,,,,
170500,Grainger,,,,,
170550,Graphic Industries Inc,,(505) 881-1477,,,
170600,Graybar Electric,,,,,
170650,Greater Albuquerque Chamber of Commerce,,(505) 764-3700,,,
170655,Green Summit Landscape Management LLC,,(505) 990-5754,,,
170700,Gregory LLC,John Gregory,,,,
170750,Groff Lumber Company Inc,,,,,
170800,"Guzman Construction Solutions, LLC",,,,,
179995,Hajoca Corporation,Dahl/,,,,
180000,Hammer Construction LLC,Hugo Ferna or Ivan,(505) 259-0586,,(505) 452-1941,hammerconstruction@comcast.net
180050,Harbor Freight,,,,,
180100,Harland Clarke Check,,,,,
180135,"Hartford Homes, LLC",Sami Hageman,,,,Sami@harfordco.com
180136,Hartford Insurance,,,,,
180175,Haskins Electric LLC,Jason Denton,(623) 937-3999,,,Jdenton@haskins-Electric.com
180180,*Heckler Designs,,,,,
180185,Hello Bond,,,,,
180200,"Creative Touch Interiors, Inc.",Amy McDonald &Rita Stump,(303) 363-3744,,,amy.mcdonald@isidc.com
180250,Heritage Title Company,,(505) 865-1177,,,
180300,Hilton,,,,,
180350,HMSHOST,,,,,
180400,Hobby Lobby,,,,,
180450,Holistic Energy Rating Services,Richard Acosta,(505) 235-0217,,(505) 345-9363,
180500,Home Builders Association,,(505) 344-3294,,,
180550,"Home Depot U.S.A., INC",,,,,
180600,Home Goods,,,,,
180650,*Home Seer Shipping,,,,,
180700,"Home Team Pest Defense, Inc.",,(505) 265-1113,,(505) 265-1361,
180750,*HomeFront Software,,,,,
180775,HomeWise,,,,,
180780,Horn Custom CleaningLLC,,,,,
188000,Ideal Mirror & Glass Inc.,Heather Sanchez,(505) 294-0699,,(505) 294-0637,hs@idealmirrorandglass.com
190000,IKEA,,,,,
190050,In The News Inc,,,,,
190100,Inspections NM LLC,,,,,
190110,"Inspections Plus, Inc.",,(505) 344-9410,,(505) 344-9861,bookkeeping@inspectionsplusinc.com
190130,Inspirato,,,,,
190135,"Interior Specialist, Inc.",,,,,
190140,"International E-Z Up, Inc.",,,,,
190145,"International Protective Service, Inc.",,,,,
190150,Intuit Inc,,,,,
190350,"Ironclad Concepts, LLC",Cameron Mayer,(505) 610-9632,,,ironcladnm@gmail.com
190352,ISG-Insurance Specialty Group,Deanna Brock,(678) 742-6361,,,DBrock@isgins.com
190370,*IStock,,,,,
200000,Jasons Deli,,,,,
200020,"JCH, Inc.",Jessica Vann,(505) 835-5313,,,jav@jchinc.com
200035,Jiffy Lube,,,,,
200050,JPR Decorative Gravel,,,,,
200053,"JP Transport, Inc.",,,,,
200090,Jimmy Johns,,,,,
200100,Jinja Bar and Bistro,,,,,
200150,JJK Group Inc,,(505) 296-5706,,,
200200,JLK Construction LLC,Jim Kolb,,,,jim@jlkabq.com
200225,Jorge Acosta,,,,,
200250,Junior Achievement NM,,(505) 235-1808,,,
200300,Junior League of Albuquerque,,,,,
210000,Kellys Brewery,,,,,
210050,*Kevin Wruck,,,,,
210100,*Keylink Solutions,,,,,
210115,"Kings of Wrap, LLC","Daniel Rodriguez,",(505) 892-1983,,,accounts@thekingsofwrap.com
210130,Kirkland's,,,,,
210145,Michael & Christie Kiser,,,,,
210150,*Kitchens by Craig,,,,,
210975,"Labor Ready Central, Inc.",customercare@laborready.,(505) 348-3081,,(505) 348-4932,1215-br@LaborReady.com
210980,"KJ Franchise, Inc/ Moji",,,,,
210985,LG Paintings,Luis Gallardo,,,,
220000,*Larry Reetz Construction,Larry Reetz,(505) 771-8310,,(505) 771-2625,
220050,Lasso Data Systems Inc,,(604) 214-8555,,,
220051,"Lastrapes, Spangler & Pacheco, P.A.",,(505) 892-3607,,,
220055,Latitudes,,,,,
220100,LeeSure Pools INC,,(505) 345-6606,,,
220120,Leukemia Lymphoma Society New Mexico,,,,,
220130,Lisa Ramsey (Consultant 4 hire),Lisa Ramsey,(704) 746-4486,,(704) 573-4323,lisa@consultant4hire.com
220150,Little Caesars,,,,,
220155,Lincoln Automotive Financial Services,,,,,
220200,*Lobo Sports Properties LLC,Staci Tafoya,,,,
220240,Lomas Encantadas Master Association,associations.ssr@gmail.c,(505) 377-1017,,(505) 891-4047,
220250,Longhorn Construction Co,,(505) 234-1903,,,coliver32.longhorn@gmail.com
220300,Longhorn Steakhouse,,,,,
220350,Los Alamos National Bank,,(505) 662-5171,,,
220400,Los Cuates Westside,,,,,
220450,Lowes Home Centers Inc,,(505) 349-2840,,,
229000,*Mackenzie Bishop,,,,,
230000,MagicJack.com,,,,,
230040,Main Bank,,,,,
230050,*Mandarin Rexdale,,,,,
230053,"Mariposa Community Association, Inc.",Brandon Gxile,(480) 921-7500,,,bexline@ccmcnet.com
230055,Mariposa East PID,,,,,
230100,Mark William Photography,,(505) 252-6459,,,
230150,Marriott,,,,,
230155,Joan Anne Marsh,,,,,
230175,Marquez Wrought Iron,Gabriel A Marquez,(505) 831-3159,,,marquezsteel11005@gmail.com
230200,Marshalls,,,,,
230250,Matheson TriGas Inc,,(505) 247-3751,,,
230260,*Mattress King,,,,,
230300,Maverik Adventures First,,,,,
230350,*Max Grading LLC,,,,,
230400,Maxwell Area Rugs,,,,,
230450,Mazda Computing Inc,,,,,
230500,*McPherson West,,,,,
230550,*Mears Transportation,,,,,
230600,*Medallion Depot,,(505) 884-0041,,,
230650,MediaMatched Inc,,(505) 890-7755,,,
230675,Gregorio & Crystal Melendez,,,,,
230700,*MercedesBenz Fin Svcs,,(800) 654-6222,,,
230750,Metro Development Inc,,,,,
230800,MGM Grand,,,,,
230850,Vera Control (aka Mi Casa),eCommercePlatform,,,,Mi Casa Verde Shop
230900,Michaels,,,,,
230901,Michael Richards Memorial Fund,,,,,
230950,Microsoft Office Software,,,,,
231000,*Mifsud Associates Architecture,,(505) 982-8363,,,
231050,*Mike Clifford,,,,,
231100,Mike Lyon Group,,,,,
231120,Miller's Inc.,,,,,
231130,Minutekey,,,,,
231135,Mission Linen Supply,,(505) 344-4838,,,
231140,Mister Car Wash,,,,,
231150,Misty Bishop,,,,,
231200,Modern Security Systems,,(505) 891-2245,,,
231250,Modular Space Corporation,,,,,
231275,Moji Photography Studio,,(505) 255-6424,,,
231300,Mountain West Sales Inc,Jim Lyle,,,,Jim@mountainwestsales.net
231325,Monte Del Sol,,,,,
231350,MoreThanGates,Art Edelhoff,(505) 221-6673,,,art@morethangates.com
231400,*Moxiware,,,,,
231425,MPJ Law Firm,,,,,michael@mpjlawfirm.com
231450,Mudhouse Advertising,,(505) 232-2120,,,
231500,*Muirfield Village Golf S,,,,,
231525,Murphy Express,,,,,
231530,Corrales Cultural Arts Council,,,,,
231540,My Choice Software,,,,,
231550,MyFax,,,,,
240000,NAHB Builder 20 Club 13,,,,,
240050,NAIOP,,,,,
240100,National Association of Home Builders,,(202) 266-8117,,,
240120,Nest Labs,,,,,
240150,*Net Direct Merchants,,,,,
240175,New Mexico Bank and Trust,,,,,tLynne@nmb-t.com
240200,*New Mexico Environmental,,,,,
240250,New Mexico Gas Company Inc,,,,,
240300,*New Mexico Property,,,,,
240350,New Mexico State Engineer,,,,,
240400,New York Life,,,,,
240450,NewEgg.com,,,,,
240500,Nicky Vs Neighborhood Pizza,,,,,
240550,Nissan Motor Acceptance Corporation,,(800) 456-6622,,,
240600,NM Aggregates LLC,,,,,
240650,NM Department of Workforce Solutions,,,,,
240750,*NM Independent Auto Deal,Paul,(505) 206-1643,,,
240800,NM Motor Vehicle Department,,,,,
240815,"NM Photos, LLC",Darrell De Vantier,,,,
240850,NM Sports and Wellness,,(800) 313-7208,,,
240900,"NM Taxation & Revenue, Workers' Comp Adm",EAN 281204,,,,
240950,NM Taxation Revenue Dept (Corp Taxes),,,,,
241000,NM Taxation Revenue Dept (NMGRT),,,,,
241050,NM Tax&Rev Dept (Payroll-UPLOADED as JEs,,,,,
241055,NMSU Foundation,,,,,
241075,Nusenda Credit Union,,(505) 889-7755,,,
241100,*NY NY Casino,,,,,
250000,Octopus Car Wash,,,,,
250050,Office Depot,,,,,
250100,*Office of the City Clerk,,(505) 891-5004,,,
250150,OfficeMax North America,,,,,
250160,OJOS Locos Sports,,,,,
250200,Old Republic National Title Ins Company,Karla J Walker,(505) 994-6700,,,
250220,On-Site Fuel Company,,,,,
250225,"On-Site Transport, LLC",,,,,
250250,On The Spot Automotive Detailing,,(505) 859-2859,,,
250300,Overhead Door Company of Albuquerque,,,,,
250350,Otero & Sons Roofing Corp,,,,,scheduling@oteroandsonsroofing.com
250400,Overstockdealscom,,,,,
260000,PaaKo Ridge Golf Club,,,,,
260001,Paako Communities Homeowner's Associatio,,,,,
260002,Paako Communities Sewer Association,,,,,
260050,Panera,,,,,
260100,Pappadeaux Seafood,,,,,
260150,Paradise View HOA,,(800) 447-3838,,,
260200,Party City,,,,,
260250,Bernalillo Cty Treasurer,,,,,
260251,Patrick Amador,,,,(505) 214-5034,pascomailboxes@gmail.com
260300,*PATSCO,,(505) 247-9741,,,
260310,Paul's Custom Trailers,Paul Padilla,(505) 712-7320,,,
260320,"Paul Davis Restoration of NM, Inc.",,,,,
260350,*Payment Remittance Center,,,,,
260375,Peak Moment Media,Paul Isaac Martinez,,,,
260400,Pei Wei,,,,,
260450,*Pelican Water Systems,,,,,
260500,Pennzoil Quaker State Company,,,,,
260510,Pension Planning Consultants,,(505) 880-1283,,(505) 880-0295,
260525,Perfect Finish Construction LLC,Eric Martin-owner,,,,PerfectFinishContruction@msn.com
260550,Persistent Balloons,,,,,
260600,Personnel Concepts,,(800) 333-3795,,,
260625,Petroglyph Estates Neighborhood Assoc.,,,,,
260630,Pi Brewing Company,,(505) 890-9463,,,
260650,Pier 1 Imports,,,,,
260655,Pilot Club of Belen,,,,,
260660,Pitre,,,,,
260700,*Plant World,,,,,
260725,PODS Albuquerque,,,,,
260750,*Ponia Lamendola Cleaning,,,,,
260770,Pottery Barn,,,,,
260800,Power Generation Service,,(505) 323-2032,,,
260850,Presbyterian Insurance Company,,,,,
260855,Preventive Pest Control LLC,,,,,
260860,ProFlowers,,,,,
260865,Propel Cleaning Services LLC.,Robert V. Martinez Jr.,,,,
260900,*Priority Plumbing & Heating,James Luna,(505) 866-9366,,,
260910,Prime PC Repair,,(505) 750-7321,,,andy@primepcr.com
260950,"Proactive Pest & Weed Control, LLC",Jedediah Thacker,(505) 433-7055,,,info@proactivepestandweed.com
261000,ProBuild,Greg Romero,(505) 858-3727,,(505) 823-1566,greg.romero@probuild.com
261050,PSI,,(877) 663-9267,,,
261100,Public Service Company of New Mexico,,(505) 246-5700,,,
261150,*Public Works Division,,,,,
261200,Pump N Save,,,,,
265000,QiaoQiao Jade Bi,,,,,
265015,Quickbooks,,,,,
265030,Quill,,,,,
270000,"Quality Elevators and Lifts of NM, LLC",Eli Gutierrez,(505) 228-8402,,,eli@qualityelevatorsandlifts.com
270050,*Quivera Estates Homeowners Association,,,,,
270100,Quiznos,,,,,
280000,RAC Construction Inc,Jessica Clauss,(505) 991-5381,,(505) 341-9775,racconstructioni@aol.com
280005,R & S West,,,,,
280025,"RAKS Building Supply, Inc.",,,,,
280050,Rammelkamp Muehlenweg C,,(505) 247-8860,,,
280060,"Emil Kiehne & Sons, Inc.",,,,,
280064,Entranosa Water & Wastewater Association,,,,,
280065,Envision IT Solutions/Bohannan Huston In,,(505) 823-1000,,,
280100,Rapid MVD Services,,,,,
280150,*Rapid Refill,Slayton Austria,(505) 816-7224,,,
280200,RayLee Homes,,(505) 892-5533,,,
280250,*Rays Flooring Specialist,AR Debi Moore,(505) 883-1967,,(505) 883-3256,
280289,Read West,,,,,
280290,Realty One Charity Golf Classic,,,,,
280295,Realty Trac,,,,,
280296,"Reclaimed DesignWorks, LLC",,,,,
280300,Red Robin,,,,,
280350,Red Shovel LLC,,(505) 243-2277,,,
280400,Registercom,,,,,
280420,Reliable Nissan,,,,,
280425,"Rendering House, Inc.",Catherine,,,,catherine@renderinghouse.com
280430,RES Design,,,,,
280440,Resources Unlimited,,,,,
280450,"Reynolds & Rodar Insurance Group, Inc.",Aaron Enloe,(505) 983-4353,,,
280460,"RHS Properties, Inc.",,,,,
280500,Richard Pino Station,,,,,
280550,RingCentral Inc,,,,,
280552,Rio Grande Brew Pub,,,,,
280555,Rio Grande Engineering,David Soule,(505) 321-9099,,,
280575,"Rio Grande Realty & Investments, LLC",Todd Kruger,(505) 250-8135,,,
280600,Rio Rancho Economic Development,,(505) 891-4305,,,
280650,Rio Rancho Regional Chamber of Commerce,,(505) 892-1533,,,
280700,Rio Rancho Signs,,,,,
280750,Rio Rancho Water & Wastewater Services,,(505) 891-5020,,,
280760,Ritz Carlton,,,,,
280800,Road Runner Waste Services,,(505) 867-9000,,,
280850,*Robert P Ewers Construction,,(505) 264-6543,,,
280900,*Rockefellers Cleaning & Restoration,,(505) 268-5585,,,
280950,"Rocky Mountain Business Systems, Inc.",,(505) 323-5252,,,
281000,"Rodgers & Co., Inc",,(505) 877-1030,,(505) 877-1105,
281025,Rosie's Cleaning,Rosalia Perez,(505) 907-9961,,,rosalia218@gmail.com
281050,Ross,,,,,
281100,Rudys Real Texas BarBQ,,,,,
281150,*Rustica Hardware,,,,,
289999,Sade  M. Patterson,,,,,
290000,Sadies of New Mexico,,,,,
290045,Safety Flare,,(505) 884-2274,,(505) 884-0721,
290050,Saffron Tiger,,,,,
290075,St. Pius X High School Foundation,,,,,
290100,Sakura Sushi  Grill,,,,,
290150,*SalesForcecom Inc,,(415) 901-7000,,,
290200,Sams Club,,,,,
290225,San Juan River Outfitters,Thomas J. Massey,,,,
290250,Sandia Area Federal Credit Union,,(505) 292-6343,,,
290275,"Sandler Training, New Mexico",Andrew Salazar,(505) 264-3154,,,andrew.salazar@sandler.com
290300,Sandia Laboratory Federal Credit Union,,(505) 293-0500,,,
290350,Sandoval County Treasurer,,,,,
290400,Santa Ana Star Casino,,,,,
290420,Santa Monica Estates HOA,,,,,
290421,Santa Monica Place Development,,(505) 998-0163,,,
290450,*SBS Construction Service,Pat Austin,(505) 877-0770,,(505) 873-2438,
290500,Seasons Grill,,(505) 766-5100,,,
290525,Security Escrow,,(505) 262-1566,,,
290550,*Semones and Son Construction,,(505) 244-0873,,,
290600,*Seven Bar Elementary,,,,,
290635,Shell,,,,,
290650,SherwinWilliams,,(505) 833-1316,,(505) 833-1317,
290685,Sierra Refinishing,,,,,
290695,Sigler Wholesale Distributors,,,,,
290700,Signs on the Cheap,,,,,
290750,*Simon Property Group LP,Scott Wides,(505) 897-5671,,,
290770,*SLG Holdings,,,,,
290775,SLS Las Vegas,,,,,
290850,*Smart Center Albuquerque,Aaron Salman,(505) 999-2512,,,
290900,SME Inc,Dodi,,,,
290950,Smiths,,,,,
291000,*Software Services Ltd,Jakob Tronquist,(403) 202-7291,,(403) 346-9600,
291050,*SonicsSEOcom,Michele Reseigh,(505) 821-2000,,,
291055,Sophisticated Sweeper,Sarah Judson,(505) 365-4039,,,Sarah@sophisticatedsweeper.com
291100,SouthWest Air,,,,,
291150,Sparling Construction Co,,,,,
291165,*Spinns Burger,,,,,
291200,Stanley Steemer,,,,,
291250,Staples,,,,,
291260,Starr Brothers Brewing,,,,,
291300,Starbucks,,,,,
291310,State Farm Insurance,Cindy Maxwell,(505) 883-9000,,,
291330,State of New Mexico,,,,,
291350,Stewart Title of Albuquerque,,,,,
291400,"Stock Building Supply, LLC",,(505) 877-0770,,(505) 823-2438,
291440,Stone Face Tavern,,,,,
